pulp_to_mixing_tank23,flow_after_machine_chest21,level_condensate_bucket1_valve_position,steam_group3_pressure,steam_group4under_pressure,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,steamflow
185.99,3075.3,48.75,231.28,246.49,246.86,246.41,246.53,95.75,11.782,173.23,16.509
185.37,3056.2,40.707,228.65,244.26,243.49,243.84,244.05,95.75,11.645,171.45,16.343
185.55,3046.1,40.638,208.19,223.78,222.93,223.66,223.29,75.75,11.751,170.77,16.433
187.04,3083.1,40.638,209.97,225.4,224.4,225.11,224.71,79.125,11.728,171.16,16.433
205.8,3401.1,30.112,181.99,195.42,196.72,195.67,195.74,49.875,11.684,193.45,16.455
207.05,3418.9,35.658,201.17,216.06,216.06,216.07,215.76,70.625,11.998,195.5,17.194
207.99,3424.5,34.69,207.11,221.81,222.9,222.52,222.39,75.125,11.915,195.45,17.449
209.22,3449.2,34.463,204.78,220.44,220.07,220.69,220.47,74.875,12.04,196.56,17.449
209.53,3467,37.147,209.1,224.48,223.96,224.51,224.36,78.625,11.952,197.27,17.447
194.58,3201.1,29.983,184.98,200.58,200.47,200.55,200.82,55.375,11.723,184.94,18.117
197.35,3257,34.64,192.77,209.14,207.79,208.77,208.89,60.75,11.846,186.01,19.016
205.39,3378.2,37.153,211.1,225.49,225.98,225.52,225.94,81.75,12.284,190.66,18.842
210.36,3483.1,38.591,219.28,234.23,234.2,234.23,234.35,82.571,12.323,190.67,18.954
209.74,3453.7,39.597,213.79,228.21,228.64,227.81,227.85,89.25,12.398,191.24,18.767
208.77,3440.7,41.38,223.43,238.74,238.57,238.59,238.92,90.375,12.41,191.54,18.677
211.59,3440.7,41.877,231.61,246.25,246.55,246.26,246.38,94.375,12.355,196.07,18.58
208.28,3438.5,43.088,236.5,252.04,251.81,251.87,252.3,94.75,12.352,194.04,18.892
209.71,3445.8,46.1,242.07,257.69,256.88,257.46,257.73,95.25,12.352,189.81,18.488
204.05,3367.3,43.842,230.73,245.75,246.07,245.68,245.81,96.087,12.264,190.59,17.819
202.61,3329.3,45.342,225.44,240.35,240.64,240.42,240.48,94.25,12.242,189.26,18.298
206.3,3400.8,41.742,228.16,243.67,243.01,243.64,243.79,93.375,12.255,192.75,18.293
207.08,3420.6,38.673,229.11,244.95,244.19,244.34,244.18,93.625,12.174,192.88,18.625
206.08,3388.2,40.21,230.39,245.35,245.66,245.31,245.28,92.625,12.17,192.88,18.442
206.16,3394,42.615,230.39,245.35,245.66,245.31,245.41,96.375,12.118,192.71,18.489
205.78,3395.9,42.798,230.04,245.24,245.4,245.19,245.41,96.375,12.153,194.26,18.489
